part_number,description,upc
1002-55OS,"COUPLING 5"" CLAY- 5"" CI/PL",018578026117
1002-55RC,"COUPLING 5""CLAY-5""CI/PL",018578005600
1002-55RC-WF,"COUPLING 5""CLAY-5""CI/PL",#N/A
1002-55WC,COUPLING 5X5 CLAY-CI/PL,018578011618
1002-56,"COUPLING 5""CLAY-6""CI/PL",018578004627
1002-6-10,"COUPLING 6""CLAY-10CI/PL",018578039629
1002-6-10RC,"Coupling 6""Clay x 10""CI/PL RC",018578046931
1002-6-12,"COUPLING 6""CLAY-12""CI/PL",018578007697
1002-62,"COUPLING 6' CLAY- 2"" CI/PL",018578025615
1002-62EB,"COUPLING 6""CLAY-2""CI/PL ECC.",#N/A
1002-63,"COUPLING 6""CLAY-3""CI/PL",018578026285
1002-63EB,"COUPLING 6""CLAY-3""CI/PL",#N/A
1002-63EBRC,"COUPLING 6""CLAY-3""CI/PL EB RC",018578047181
1002-64,"COUPLING 6"" CLAY- 4"" CI/PL",018578015289
1002-64-WB,"COUPLING 6"" CLAY- 4"" CI/PL",#N/A
1002-64-WF,"COUPLING 6"" CLAY- 4"" CI/PL",#N/A
1002-642,"COUPLING 6"" CLAY- 4"" CI/PL XL",#N/A
1002-64A,"COUPLING 6"" CLAY- 4"" CI/PL 316",018578048706
1002-64EB,"COUPLING 6""CLAY-4""CI/PL EB",018578005396
1002-64EBRC,"COUPLING 6""CLAY-4""CI/PL EB SR",018578013971
1002-64EC,"COUPLING 6"" CLAY- 4"" CI/PL ECC",018578008922
1002-64RC,"COUPLING 6""CLAY-4""CI/PL",018578005617
1002-64RC-WB,"COUPLING 6""CLAY-4""CI/PL",#N/A
1002-64RC-WF,"COUPLING 6""CLAY-4""CI/PL",#N/A
1002-64SDRRC,"COUPLING 6""CLAY-4""CI/PL SDR35",018578026131
1002-64SRA,"COUPLING 6""CLAY-4""CI/PL SR 316",#N/A
1002-64WC,"COUPLING 6""WC CLAY-4""PL",018578019898
1002-64WCEB,"COUPLING 6""CLAY-4""CI/PL WC EB",018578045866
1002-64WCRC,"COUPLING 6""WC CLAY-4""PL RC",018578011229
1002-64WCSDRRC,"COUPLING 6""WC CLAY-4""PL RC SDR",#N/A
1002-65,"COUPLING 6"" CLAY- 5"" CI/PL",018578003347
1002-65EB,"COUPLING 6""CLAY-5""CI/PL EB",018578017078
1002-65EBRC,"Coupling 6""Clay-5""CI/PL EBRC",#N/A
1002-65RC,"COUPLING 6""CLAY-5""CI/PL RC",018578009554
1002-66,"COUPLING 6"" CLAY- 6"" CI/PL",018578015296
1002-66_BX,"COUPLING 6"" CLAY- 6"" CI/PL",10018578015293
1002-66-GPQ,"COUPLING 6"" CLAY- 6"" CI/PL",#N/A
1002-66-WB,"COUPLING 6"" CLAY- 6"" CI/PL",#N/A
1002-66-WF,"COUPLING 6"" CLAY- 6"" CI/PL",#N/A
