catalog_number,description,upc
48511,"AUGR BIT 11/16"" X 12"" X 7/16"" HEX",024721485113
48513,"AUGR BIT 13/16"" X 12"" X 7/16"" HEX",024721485137
48711,"AUGR BIT 11/16"" X 18"" X 7/16"" HEX",024721487117
48713,"AUGR BIT 13/16"" X 18"" X 7/16"" HEX",024721487131
48715,"AUGR BIT 15/16"" X 18"" X 7/16"" HEX",024721487155
49600,BRAD PT DRL BIT 5PC SET,024721496003
49612,"BRAD PT DRL BIT 1/8""",024721496126
49613,"BRAD PT DRL BIT 3/16""",024721496133
49614,"BRAD PT DRL BIT 1/4""",024721496140
49615,"BRAD PT DRL BIT 5/16""",024721496157
49616,"BRAD PT DRL BIT 3/8""",024721496164
49617,"BRAD PT DRL BIT 7/16""X 3/8""",024721496171
49618,"BRAD PT DRL BIT 1/2""X 3/8""",024721496188
49904,"AUGR BIT I-100 1/4"" X 7-1/2""",024721100054
49905,"AUGR BIT I-100 5/16"" X 7-1/2""",024721100061
49906,"AUGR BIT I-100 3/8"" X 7-1/2""",024721100078
49907,"AUGR BIT I-100 7/16"" X 7-1/2""",024721100085
49908,"AUGR BIT I-100 1/2"" X 7-1/2""",024721100092
49909,"AUGR BIT I-100 9/16"" X 7-1/2""",024721100108
49910,"AUGR BIT I-100 5/8"" X 7-1/2""",024721100115
49911,"AUGR BIT I-100 11/16"" X 7-1/2""",024721100122
49912,"AUGR BIT I-100 3/4"" X 7-1/2""",024721100139
49913,"AUGR BIT I-100 13/16"" X 7-1/2""",024721100146
49914,"AUGR BIT I-100 7/8"" X 7-1/2""",024721100153
49915,"AUGR BIT I-100 15/16"" X 9-1/2""",024721100160
49916,"AUGR BIT I-100 1"" X 9-1/2""",024721100177
49918,"AUGR BIT I-100 1-1/8"" X 9-1/2""",024721499189
49920,"AUGR BIT I-100 1-1/4"" X 9-1/2""",024721499202
49924,"AUGR BIT I-100 1-1/2"" X 9-1/2""",024721499240
